Authors,Authors_ID,Title,Year,Source_title,Global_Citations,Affiliations,Abstract,Author_Keywords,Index_Keywords,Abb_Source_Title,Document_Type,calificacion,ID,Num_Authors,Frac_Num_Documents,Countries,Country_1st_Author,Abstract_Keywords,Abstract_Author_Keywords,Abstract_Index_Keywords,Bradford_Law_Zone,Institutions,Institution_1st_Author,Author_Keywords_CL,Index_Keywords_CL,Keywords,Keywords_CL,Abstract_Author_Keywords_CL,Abstract_Index_Keywords_CL,Abstract_Keywords_CL
Alford P;Jones R,56696934900;55493298700,The lone digital tourism entrepreneur: Knowledge acquisition and collaborative transfer,2020,Tourism Management,0.0,"Southampton Business School, University of Southampton, Building 2, Highfield Campus, Southampton, SO17 1BJ, United Kingdom; Birmingham Business School, University House, University of Birmingham, Edgbaston, Birmingham, B15 2TY, United Kingdom",this paper addresses calls for more detailed studies of small tourism enterprises. researchers report a lack of adoption and ineffective utilization of digital technologies in smaller tourism businesses. the study focuses on two university-facilitated projects of digital marketing adoption and utilization by 53 small and medium sized tourism businesses in the south of england. the framework for this study was driven by modes of knowledge transference and technology-in-practice. the findings describe peer-to-peer knowledge acquisition and sharing that take place in university-led projects and suggests that a combination of mode 1 and mode 2 knowledge helps entrepreneurs to advance their digital marketing knowledge. peer-to-peer clusters are an effective means of placing digital marketing knowledge and technology in the context of small and medium tourism business practice. the paper provides implications for destination marketing organizations and policymakers and suggestions for future avenues of research are offered. ,digital marketing;entrepreneur;knowledge acquisition;mode 1 and mode 2 knowledge;small tourism businesses;technology-in-practice,business development;england;future prospect;tourism development;tourism economics;tourism management;tourism market;united kingdom,Tour Manage,Article,3,0,2,0.5,united kingdom,united kingdom,adoption;business;destination marketing;digital marketing;digital technologies;england;enterprises;entrepreneurs;knowledge acquisition;mode 1 and mode 2 knowledge;research;small;technology-in-practice;tourism;utilization,adoption;business;destination marketing;digital marketing;digital technologies;enterprises;entrepreneurs;knowledge acquisition;mode 1 and mode 2 knowledge;small;technology-in-practice;tourism,adoption;business;digital marketing;digital technologies;england;knowledge acquisition;research;small;tourism;utilization,3.0,University of Southampton GBR;University of Birmingham GBR,University of Southampton GBR,digital marketing;entrepreneur;knowledge acquisition;mode 1 and mode 2 knowledge;small tourism businesses;technology-in-practice,business development;england;future prospect;tourism development;tourism economics;tourism management;tourism market;united kingdom,business development;digital marketing;england;entrepreneur;future prospect;knowledge acquisition;mode 1 and mode 2 knowledge;small tourism businesses;technology-in-practice;tourism development;tourism economics;tourism management;tourism market;united kingdom,business development;digital marketing;england;entrepreneur;future prospect;knowledge acquisition;mode 1 and mode 2 knowledge;small tourism businesses;technology-in-practice;tourism development;tourism economics;tourism management;tourism market;united kingdom,adoption;business;destination marketing;digital marketing;digital technologies;enterprises;entrepreneur;knowledge acquisition;mode 1 and mode 2 knowledge;small;technology-in-practice;tourism,adoption;business;digital marketing;digital technologies;england;knowledge acquisition;research;small;tourism;utilization,adoption;business;destination marketing;digital marketing;digital technologies;england;enterprises;entrepreneur;knowledge acquisition;mode 1 and mode 2 knowledge;research;small;technology-in-practice;tourism;utilization
Chatterjee S;Kumar Kar A,56857082100;57215548982,Why do small and medium enterprises use social media marketing and what is the impact: Empirical insights from India,2020,International Journal of Information Management,1.0,"Department of Management Studies, Indian Institute of Technology Delhi, India","increasingly firms are looking to use social media to connect with different stakeholders as plans on building presence on such platforms are becoming part of top-level strategy. the purpose of this study is to identify the factors that would help the small and medium enterprises (smes) of india to adopt social media marketing (smm) mechanisms for improving their business impact. adoption of smm by smes has considerable impact on the improvement of business outcome of the smes. a theoretical model has been developed with the help of theory borrowed from tam and utaut2 with some modifications to explore this impact through business performance, sales, connect with customers, identify customer' needs and creativity of the employees. the theoretical model has been validated empirically using a survey of 310 firms and subsequent analysis have been carried out using structured equation modeling. the results highlight that perceived usefulness, perceived ease of use and compatibility positively affect impact of smm after adoption by the smes. the facilitating conditions have insignificant impact whereas cost has a significant but negative impact on the use of smm by smes. since there are a few studies in this context, the study contributes to existing literature on the impact of smm in smes in an emerging economy. ",digital marketing;small and medium enterprises;social media impact;social media marketing;technology impact,commerce;digital marketing;economic and social effects;sales;small and medium enterprise;social media;social media marketings;social networking (online);technology impact,Int J Inf Manage,Article,3,1,2,0.5,india,india,adoption;affect;business;business performance;cost;customer;facilitating conditions;factors;sales;small and medium enterprises;smes;social media;social media marketing;strategy;survey;tam,adoption;affect;business;business performance;customer;factors;small and medium enterprises;smes;social media;social media marketing;strategy;survey;tam,adoption;affect;business;cost;facilitating conditions;factors;sales;smes;social media,2.0,Indian Institute of Technology Delhi IND,Indian Institute of Technology Delhi IND,digital marketing;small and medium enterprise;social media impact;social media marketing;technology impact,commerce;digital marketing;economic and social effects;sales;small and medium enterprise;social media;social media marketing;social network;technology impact,commerce;digital marketing;economic and social effects;sales;small and medium enterprise;small and medium enterprises;social media;social media impact;social media marketing;social media marketings;social networking (online);technology impact,commerce;digital marketing;economic and social effects;sales;small and medium enterprise;social media;social media impact;social media marketing;social network;technology impact,adoption;affect;business;business performance;customer;factorization;small and medium enterprise;sme;social media;social media marketing;strategy;survey;tam,adoption;affect;business;cost;facilitating conditions;factorization;sales;sme;social media,adoption;affect;business;business performance;cost;customer;facilitating conditions;factorization;sales;small and medium enterprise;sme;social media;social media marketing;strategy;survey;tam
Pradhan P;Nigam D;Tewari CK,57216706278;57215659518;57216706444,An analysis of organizational demographics and measuring the results after adopting digital marketing by smes of uttar pradesh,2020,International Journal of Advanced Science and Technology,0.0,"AKTU, Lucknow, India; Bundelkhand University, Jhansi, India; STEP-HBTI, Kanpur, India","both demand and competition have been changing and are giving pressure to organization to adopt innovative practices. are innovative strategies worth to opt? there is a need to address the changes after the adoption of technology and innovation. objective: the paper is focusing on digital marketing tools which are frequently adopted by smes. this paper will depict the influence of organizational demographics on adoption of digital marketing tools. the ultimate aim of this research is to analyze the difference between outcomes before and after adopting digital marketing tools by smes. approach: the data has been collected through google forms from 100 smes listed in iia dictionary. researcher is going to address sme’s demographics has relationship while adopting tools of digital marketing like social media, website site, email marketing etc. although many studies have been conducted on the adoption of various forms of ict, there are few on this topic in asian countries; in particular, there is no research on uttar pradesh. results: it has been concluded in the study that there is a significant change in sme’s average turnover and cost (expenses) after adopting digital marketing tools and several factors of organization demographics can influence adoption digital marketing. generalizability of the results is one of the limitation of the study. paper type: research paper. ",digital;kruskal-valis test etc;marketing;small scale;turnover;wilcoxon test,,Int J Adv Sci Technol,Article,2,2,3,0.3333333333333333,india,india,adoption;competition;cost;demographics;digital marketing;email marketing;etc;factors;google;ict;innovation;organization;research;sme;smes;social media;tools;turnover;uttar pradesh;website,adoption;demographics;digital marketing;email marketing;etc;factors;google;ict;innovation;sme;smes;social media;tools;turnover;website,adoption;competition;cost;digital marketing;email marketing;factors;google;innovation;organization;research;sme;smes;social media;uttar pradesh,1.0,Bundelkhand University IND,Bundelkhand University IND,digital;kruskal-valis test etc;market;small scale;turnover;wilcoxon test,,digital;kruskal-valis test etc;marketing;small scale;turnover;wilcoxon test,digital;kruskal-valis test etc;market;small scale;turnover;wilcoxon test,adoption;demographics;digital marketing;email marketing;etc;factorization;google;ict;innovation;sme;sme;social media;tools;turnover;website,adoption;competition;cost;digital marketing;email marketing;factorization;google;innovation;organization;research;sme;sme;social media;uttar pradesh,adoption;competition;cost;demographics;digital marketing;email marketing;etc;factorization;google;ict;innovation;organization;research;sme;sme;social media;tools;turnover;uttar pradesh;website
Fensel A;Akbar Z;Karle E;Blank C;Pixner P;Gruber A,36607956900;24831729700;56543254500;57216935172;57216934731;57216933840,Knowledge graphs for online marketing and sales of touristic services,2020,Information (Switzerland),1.0,"Semantic Technology Institute (STI) Innsbruck, Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria; Indonesian Institute of Sciences, Jakarta, 12710, Indonesia; Kognitiv Corporation, Vienna, 1070, Austria; M-Pulso GmbH, Innsbruck, 6020, Austria; Redlink GmbH, Salzburg, 5020, Austria","direct online marketing and sales are nowadays an essential part of almost any business that addresses an end consumer, such as in tourism. on the downside, the data and content required for such marketing and sales are typically distributed, and difficult to identify and use, especially for small and medium enterprises. further, a combination of content management and semantics for automated online marketing and sales is becoming practically feasible now, especially with the global adoption of knowledge graphs. a design and feasibility pilot of a solution implementing semantic content and data value chain for online direct marketing and sales, basing on knowledge graphs, and efficiently addressing multiple channels and stakeholders, is provided and evaluated with the end-users. the implementation is shown to be suitable for the use on the web, social media and mobile channels. the proof of concept addresses the tourism sector, exploring, in particular, the case of touristic service packaging, and is applicable globally. the typically encountered challenges, particularly, the ones related to data quality, are identified, and the ways to overcome them are discussed. the paper advances the knowledge of employment of knowledge graphs in online marketing and sales, and showcases its related innovative practical application, co-created by the industry providing marketing and sales solutions for austria, one of the world's leading touristic regions. ",knowledge graphs;mobile apps;online marketing;online sales;semantic technology;social media;touristic service packaging,content management;direct marketing;electronic commerce;graphic methods;knowledge graphs;leisure industry;multiple channels;online marketing;proof of concept;sales;semantics;service industry;service packaging;small and medium enterprise;tourism,Information,Article,2,3,6,0.1666666666666666,indonesia;austria,austria,adoption;austria;business;challenges;channels;consumer;content management;design;direct marketing;industry;knowledge graphs;marketing;mobile;multiple channels;online;online marketing;proof of concept;quality;sales;semantics;small and medium enterprises;social media;tourism;touristic service packaging,adoption;austria;business;challenges;channels;knowledge graphs;marketing;mobile;online;online marketing;quality;small and medium enterprises;social media;tourism;touristic service packaging,adoption;austria;business;challenges;consumer;content management;design;direct marketing;industry;knowledge graphs;marketing;multiple channels;online;online marketing;proof of concept;sales;semantics;social media;tourism,3.0,University of Innsbruck AUT;Indonesian Institute of Sciences IDN;Kognitiv Corporation AUT,University of Innsbruck AUT,knowledge graphs;mobile apps;online marketing;online sales;semantic technology;social media;touristic service packaging,content management;direct marketing;electronic commerce;graphic methods;knowledge graphs;leisure industry;multiple channels;online marketing;proof of concept;sales;semantics;service industries;service packaging;small and medium enterprise;tourism,content management;direct marketing;electronic commerce;graphic methods;knowledge graphs;leisure industry;mobile apps;multiple channels;online marketing;online sales;proof of concept;sales;semantic technology;semantics;service industry;service packaging;small and medium enterprise;social media;tourism;touristic service packaging,content management;direct marketing;electronic commerce;graphic methods;knowledge graphs;leisure industry;mobile apps;multiple channels;online marketing;online sales;proof of concept;sales;semantic technology;semantics;service industries;service packaging;small and medium enterprise;social media;tourism;touristic service packaging,adoption;austria;business;challenges;channels;knowledge graphs;market;mobile;online;online marketing;quality;small and medium enterprise;social media;tourism;touristic service packaging,adoption;austria;business;challenges;consumer;content management;design;direct marketing;industry;knowledge graphs;market;multiple channels;online;online marketing;proof of concept;sales;semantics;social media;tourism,adoption;austria;business;challenges;channels;consumer;content management;design;direct marketing;industry;knowledge graphs;market;mobile;multiple channels;online;online marketing;proof of concept;quality;sales;semantics;small and medium enterprise;social media;tourism;touristic service packaging
Wibowo A;Santoso JT;Wibowo MC,57216438764;57212315327;57212313984,Adoption of technopreneurship and information technology in accelerating the growth of digital-based entrepreneurs,2020,Test Engineering and Management,0.0,"STEKOM, Semarang, Indonesia","the role of smes in the national economy has received wide attention in terms of its ability to absorb labor, entrepreneurship, innovation and resilience in conditions of economic crisis. this paper aims to describe the role of smes in technology-based entrepreneurship development in indonesia.the study found that the role of entrepreneurship education and technology entrepreneurial acceleration programs through collaboration between sectors can help smes adapt marketing and products through online. this study also shows that the purpose of msmes is to be online to provide opportunities for a wider market share of msmes in indonesia both domestically and abroad to be able to increase sales and income both at home and abroad. ",business growth;digital marketing;technology adoption;technopreneurship,,Test Eng Manage,Article,2,4,3,0.3333333333333333,indonesia,indonesia,attention;collaboration;education;entrepreneurship;indonesia;innovation;market share;marketing;msmes;national economy;online;opportunities;sales;smes,collaboration;education;entrepreneurship;indonesia;innovation;marketing;msmes;online;opportunities;smes,attention;education;indonesia;innovation;market share;marketing;national economy;online;sales;smes,1.0,,,business growth;digital marketing;technology adoption;technopreneurship,,business growth;digital marketing;technology adoption;technopreneurship,business growth;digital marketing;technology adoption;technopreneurship,collaboration;education;entrepreneurship;indonesia;innovation;market;msmes;online;opportunities;sme,attention;education;indonesia;innovation;market share;market;national economy;online;sales;sme,attention;collaboration;education;entrepreneurship;indonesia;innovation;market share;market;msmes;national economy;online;opportunities;sales;sme
Nasution MI;Prayogi MA;Siregar LH;Suryani Y;Hernawaty H,57204822076;57202255870;57216618273;57216618408;57216616499,Environment of Internet Marketing and Experiential Marketing in Indonesia Context: Small and Medium Enterprises (SMEs) Purchase Intentions,2020,IOP Conference Series: Earth and Environmental Science,0.0,"University of Muhammadiyah Sumatera Utara, Medan, North Sumatra, Indonesia; University of Dharmawangsa, Medan, North Sumatra, Indonesia; University of Harapan, Medan, North Sumatra, Indonesia; University of Pembangunan Panca Budi, Medan, North Sumatra, Indonesia","the strategies to employ internet marketing and experiential marketing by small medium enterprises (smes) used to increase purchase intention. therefore, this research aimed to analyze the partial and simultaneous influences between internet marketing and experiential marketing to purchase intentions. this research used a quantitative approach and took the samples by using a quota sample technique with 100 respondents from small and medium enterprises on fashion and food sector in medan city. the technique of analyzing the data used in this research was multiple linear regression. the result of this research was internet marketing, and experiential marketing had a positive and significant influence on purchase intention. simultaneously, internet marketing and experiential marketing had a positive and significant impact on purchase intention. the implication of this research was smes must transform from the conventional strategy into an online strategy. ",experiential marketing;internet marketing;purchase intention,commerce;food sector;internet marketing;linear regression;multiple linear regressions;online strategy;purchase intention;purchasing;quantitative approach;sales;small and medium enterprise;small medium enterprise,IOP Conf Ser Earth Environ Sci,Conference Paper,3,5,5,0.2,indonesia,indonesia,experiential marketing;fashion;food sector;internet marketing;linear regression;online strategy;purchase intention;quantitative approach;research;small and medium enterprises;small medium enterprises;smes;strategy,experiential marketing;fashion;internet marketing;purchase intention;small and medium enterprises;small medium enterprises;smes;strategy,food sector;internet marketing;linear regression;online strategy;purchase intention;quantitative approach;research;smes,2.0,University of Muhammadiyah Sumatera Utara IDN;University of Dharmawangsa IDN;University of Harapan IDN;University of Pembangunan Panca Budi IDN,University of Muhammadiyah Sumatera Utara IDN,experiential marketing;internet marketing;purchase intention,commerce;food sector;internet marketing;linear regression;multiple linear regressions;online strategies;purchase intention;purchasing;quantitative approach;sales;small and medium enterprise;small medium enterprise,commerce;experiential marketing;food sector;internet marketing;linear regression;multiple linear regressions;online strategy;purchase intention;purchasing;quantitative approach;sales;small and medium enterprise;small medium enterprise,commerce;experiential marketing;food sector;internet marketing;linear regression;multiple linear regressions;online strategies;purchase intention;purchasing;quantitative approach;sales;small and medium enterprise;small medium enterprise,experiential marketing;fashion;internet marketing;purchase intention;small and medium enterprise;small medium enterprise;sme;strategy,food sector;internet marketing;linear regression;online strategies;purchase intention;quantitative approach;research;sme,experiential marketing;fashion;food sector;internet marketing;linear regression;online strategies;purchase intention;quantitative approach;research;small and medium enterprise;small medium enterprise;sme;strategy
Ahmad AHj;Idris I;Wong JX;Malik ISA;Masri R;Alias SS,57209294047;57200176251;57216273526;57205272840;57204105326;57216274556,Creating brand awareness through YouTube advertisement engagement,2020,Test Engineering and Management,0.0,"Department of Marketing, International Business Universiti Kuala Lumpur, Business School Kuala Lumpur, Malaysia; Department of Marketing, Sunway University Business School Selangor, Malaysia; Department of Management, Entrepreneurship Universiti Kuala Lumpur, Business School Kuala Lumpur, Malaysia; Department of Business, Law International University of Malaya, Wales Kuala Lumpur, Malaysia","online advertising such as facebook, youtube, instagram, twitter and others have become one of the profitable and user-friendly platform for advertisers. thus, more and more advertisers adopted the idea of online advertising. however, it is difficult to engage the consumer or viewers from this platform. youtube is one of the fastest growing online platform. thus, this research focuses on the significance of using youtube advertisement as the platform in generating and building brand awareness. 280 respondents were conveniently recruited for data collection and further data analyzes. all questionnaires were successfully handed out to each respective respondent. as predicted, research has shown that the advertising engagement do significantly related in creating brand awareness in the youtube platform. this research has contributed to the new understanding in helping advertisers, marketers, small-medium enterprise (sme) and new start-ups companies in reaching more consumers by using the right strategies in youtube advertising and reducing their advertising cost by knowing the right tools to use. ",brand awareness;consumer engagement;online marketing;youtube advertisement,brand awareness;consumer engagement;data acquisition;marketing;online advertising;online marketing;online platforms;small medium enterprise;social networking (online);surveys;user-friendly platforms;youtube,Test Eng Manage,Article,2,6,6,0.1666666666666666,malaysia,malaysia,advertising;brand awareness;consumer;consumers;cost;data collection;facebook;online;online advertising;research;sme;tools;twitter;youtube;youtube advertisement,advertising;brand awareness;consumers;facebook;online;online advertising;sme;tools;twitter;youtube advertisement,advertising;brand awareness;consumer;cost;data collection;facebook;online;online advertising;research;sme;twitter;youtube,1.0,International Business Universiti Kuala Lumpur MYS;Sunway University Business School Selangor MYS;Entrepreneurship Universiti Kuala Lumpur MYS;University of Malaya MYS,International Business Universiti Kuala Lumpur MYS,brand awareness;consumer engagement;online marketing;youtube advertisement,brand awareness;consumer engagement;data acquisition;market;online advertisements;online marketing;online platforms;small medium enterprise;social network;survey;user-friendly platforms;youtube,brand awareness;consumer engagement;data acquisition;marketing;online advertising;online marketing;online platforms;small medium enterprise;social networking (online);surveys;user-friendly platforms;youtube;youtube advertisement,brand awareness;consumer engagement;data acquisition;market;online advertisements;online marketing;online platforms;small medium enterprise;social network;survey;user-friendly platforms;youtube;youtube advertisement,advertisement;brand awareness;consumer;facebook;online;online advertisements;sme;tools;twitter;youtube advertisement,advertisement;brand awareness;consumer;cost;data collection;facebook;online;online advertisements;research;sme;twitter;youtube,advertisement;brand awareness;consumer;consumer;cost;data collection;facebook;online;online advertisements;research;sme;tools;twitter;youtube;youtube advertisement
Kuntonbutr S,57212555955,The dynamic capabilities of digital transformation for improving product customization and innovation,2020,Test Engineering and Management,0.0,"Rajamangala University of Technology, Thanyaburi, Pathumtani, Thailand","digital transformation has driven the dynamic growth of firms over the last two decades. currently, it is now being implemented by many firms including small and medium sized enterprises. this quantitative study explores the effects of digital transformation with reference to digital marketing and innovation, which are said to enhance the performance of firms in the automotive parts industry. the 280 usable subjects from total number of 1,800 smes listed in thai auto-parts manufacturers association were participated in this study. the questionnaires were developed from reviewing the literature and supported by experts' suggestion. there are two mediators in the research framework as customization and innovation, then, structural equation model is a statistical used for testing the hypotheses. the results indicate digital transformation exerts a significant effect on both digital marketing and innovation. as well, the indirect effect of digital transformation on firms' performance is evident through digital marketing and innovation. these results support that auto-part firms should applied digital transformation appropriately with digital marketing and innovation. those functions contribute to firm performance. ",digital transformation;innovation;product customization,automotive parts industries;commerce;digital transformation;dynamic capabilities;marketing;product customization;quantitative study;research frameworks;small and medium sized enterprise;structural equation modeling;surveys;telecommunication services,Test Eng Manage,Article,2,7,1,1.0,thailand,thailand,digital marketing;digital transformation;industry;innovation;performance;quantitative study;research;small and medium sized enterprises;smes;testing,digital marketing;digital transformation;innovation;performance;small and medium sized enterprises;smes,digital marketing;digital transformation;industry;innovation;quantitative study;research;small and medium sized enterprises;smes;testing,1.0,University of Technology THA,University of Technology THA,digital transformation;innovation;product customization,automotive parts industries;commerce;digital transformation;dynamic capabilities;market;product customization;quantitative study;research frameworks;small and medium-sized enterprises (smes);structural equation modeling;survey;telecommunication services,automotive parts industries;commerce;digital transformation;dynamic capabilities;innovation;marketing;product customization;quantitative study;research frameworks;small and medium sized enterprise;structural equation modeling;surveys;telecommunication services,automotive parts industries;commerce;digital transformation;dynamic capabilities;innovation;market;product customization;quantitative study;research frameworks;small and medium-sized enterprises (smes);structural equation modeling;survey;telecommunication services,digital marketing;digital transformation;innovation;performance;small and medium-sized enterprises (smes);sme,digital marketing;digital transformation;industry;innovation;quantitative study;research;small and medium-sized enterprises (smes);sme;testing,digital marketing;digital transformation;industry;innovation;performance;quantitative study;research;small and medium-sized enterprises (smes);sme;testing
Somjai S;Charoen-Rajapark N;Pocmontri A,57209607663;57210814574;57216274380,Approaches of digital marketing in SMEs,2020,Test Engineering and Management,0.0,"Graduate School, Suan Sunandha Rajabhat University, Bangkok, Thailand; Suan Sunandha Rajabhat University, Bangkok, Thailand","purpose- digital marketing is getting ahead of all the traditional ways of marketing, it has become not only necessary for the larger companies but for smes as well to keep up with the trend and adopt digital marketing. digital marketing started off not many years back, hence it is still not very popular amongst the smes. however, due to the need of the market the smes should look into it. companies in west are already looking into it and adopting it. therefore, the smes in asia and south-east asia should not be left behind either and start adopting it at its earliest. so the purpose of this study is to find out the relationship between digital marketing and how does it affect the sales of the company. design/methodology/approach- the data was collected from 400 employees working at different digital marketing firms in order to learn the difference how things worked prior and after adopting the digital marketing. the research was restricted to malaysian context only hence; it can only be applied to the malaysian context. the sample data was collected through questionnaires and also interviews were conducted from the higher level management in order to get better results out of the data and survey. the data from the survey was analyzed on spss and amos to get the analysis. findings- the findings of this study suggest that with the adoption of digital marketing not only does the sale increase, but it also reduces the cost of marketing for the company. therefore, it is determined that digital marketing is a cheaper and optimized way of doing marketing. also, it creates more awareness amongst the people and a very faster rate as compared to traditional marketing ways. furthermore, digital marketing has proven to be very popular amongst the malaysian too and also many companies are doing it such as zalora, lazada, shoppee, groupon. all these companies invest a huge amount of energy and money and they have ll their teams working on search engine marketing, search engine optimization and they have separate teams who are working on social media marketing campaigns and it has turned out to be more popular and profitable ways of marketing their product to their customers. ",digital marketing;email marketing;search engine marketing;search engine optimization;smes;social media marketing,commerce;digital marketing;email marketing;marketing;search engine marketings;search engine optimizations;search engines;smes;social media marketings;social networking (online);surveys,Test Eng Manage,Article,3,8,3,0.3333333333333333,thailand,thailand,adoption;affect;cost;digital marketing;management;market;marketing;product;research;sales;search engine marketing;search engine optimization;smes;survey,adoption;affect;digital marketing;management;market;marketing;product;search engine marketing;search engine optimization;smes;survey,adoption;affect;cost;digital marketing;management;marketing;product;research;sales;smes,1.0,Suan Sunandha Rajabhat University THA;Suan Sunandha Rajabhat University THA,Suan Sunandha Rajabhat University THA,digital marketing;email marketing;search engine marketing;search engine optimization;sme;social media marketing,commerce;digital marketing;email marketing;market;search engine marketing;search engine optimization;search engine;sme;social media marketing;social network;survey,commerce;digital marketing;email marketing;marketing;search engine marketing;search engine marketings;search engine optimization;search engine optimizations;search engines;smes;social media marketing;social media marketings;social networking (online);surveys,commerce;digital marketing;email marketing;market;search engine;search engine marketing;search engine optimization;sme;social media marketing;social network;survey,adoption;affect;digital marketing;management;market;market;product;search engine marketing;search engine optimization;sme;survey,adoption;affect;cost;digital marketing;management;market;product;research;sales;sme,adoption;affect;cost;digital marketing;management;market;market;product;research;sales;search engine marketing;search engine optimization;sme;survey
Carpio KVH;Arce S;Enjolras M;Camargo M,57216229983;57217106222;56340830900;34871573700,How institutions promote digital marketing in small and medium international companies: Comparison between Costa Rica and France,2020,Technology Innovation Management Review,0.0,,"the objective of this paper is to analyze institutional promotions to small and medium international enterprises on the subject of digital marketing. the authors conduct qualitative research with a descriptive scope, including 12 institutions in costa rica and france. the study is dedicated to working with smes involved in an internationalization process and offering them some type of training. for the collection of information, an in-depth interview with each participant was applied. it concludes that smes promote digital marketing through institutions, and that the way in which they carry it out varies between the two countries, costa rica being a more general and structured service, and france a more customized one. ",coaching;digital marketing;internationalization;smes;support institutions;training,,Technolog Innov Manag Rev,Article,3,9,4,0.25,,,digital marketing;enterprises;information;international;internationalization;interview;qualitative research;small;smes;training,digital marketing;enterprises;information;international;internationalization;small;smes;training,digital marketing;interview;qualitative research;small;smes,2.0,,,coaching;digital marketing;internationalization;sme;support institutions;training,,coaching;digital marketing;internationalization;smes;support institutions;training,coaching;digital marketing;internationalization;sme;support institutions;training,digital marketing;enterprises;information;international;internationalization;small;sme;training,digital marketing;interview;qualitative research;small;sme,digital marketing;enterprises;information;international;internationalization;interview;qualitative research;small;sme;training
