Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID,calificacion
"Alford P., Jones R.",56696934900;55493298700;,The lone digital tourism entrepreneur: Knowledge acquisition and collaborative transfer,2020,Tourism Management,81,,104139,,,,,10.1016/j.tourman.2020.104139,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086903301&doi=10.1016%2fj.tourman.2020.104139&partnerID=40&md5=e5a7edc9d55fa54e87134fb9e009fd12,"Southampton Business School, University of Southampton, Building 2, Highfield Campus, Southampton, SO17 1BJ, United Kingdom; Birmingham Business School, University House, University of Birmingham, Edgbaston, Birmingham, B15 2TY, United Kingdom","Alford, P., Southampton Business School, University of Southampton, Building 2, Highfield Campus, Southampton, SO17 1BJ, United Kingdom; Jones, R., Birmingham Business School, University House, University of Birmingham, Edgbaston, Birmingham, B15 2TY, United Kingdom",This paper addresses calls for more detailed studies of small tourism enterprises. Researchers report a lack of adoption and ineffective utilisation of digital technologies in smaller tourism businesses. The study focuses on two university-facilitated projects of digital marketing adoption and utilisation by 53 small and medium sized tourism businesses in the South of England. The framework for this study was driven by Modes of Knowledge Transference and Technology-In-Practice. The findings describe peer-to-peer knowledge acquisition and sharing that take place in university-led projects and suggests that a combination of Mode 1 and Mode 2 knowledge helps entrepreneurs to advance their digital marketing knowledge. Peer-to-peer clusters are an effective means of placing digital marketing knowledge and technology in the context of small and medium tourism business practice. The paper provides implications for destination marketing organisations and policymakers and suggestions for future avenues of research are offered. © 2020,Digital marketing; Entrepreneur; Knowledge acquisition; Mode 1 and Mode 2 knowledge; Small tourism businesses; Technology-in-practice,business development; future prospect; tourism development; tourism economics; tourism management; tourism market; England; United Kingdom,"Alford, P.; Southampton Business School, University of Southampton, Building 2, Highfield Campus, United Kingdom; email: P.R.Alford@soton.ac.uk",,Elsevier Ltd,2615177,,,,English,Tour. Manage.,Article,Final,,Scopus,2-s2.0-85086903301,3
"Chatterjee S., Kumar Kar A.",56857082100;57215548982;,Why do small and medium enterprises use social media marketing and what is the impact: Empirical insights from India,2020,International Journal of Information Management,53,,102103,,,,1,10.1016/j.ijinfomgt.2020.102103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081129873&doi=10.1016%2fj.ijinfomgt.2020.102103&partnerID=40&md5=be82e6966b7d7498df2bc843ea79cfe4,"Department of Management Studies, Indian Institute of Technology Delhi, India","Chatterjee, S., Department of Management Studies, Indian Institute of Technology Delhi, India; Kumar Kar, A., Department of Management Studies, Indian Institute of Technology Delhi, India","Increasingly firms are looking to use social media to connect with different stakeholders as plans on building presence on such platforms are becoming part of top-level strategy. The purpose of this study is to identify the factors that would help the Small and Medium Enterprises (SMEs) of India to adopt Social Media Marketing (SMM) mechanisms for improving their business impact. Adoption of SMM by SMEs has considerable impact on the improvement of business outcome of the SMEs. A theoretical model has been developed with the help of theory borrowed from TAM and UTAUT2 with some modifications to explore this impact through business performance, sales, connect with customers, identify customer' needs and creativity of the employees. The theoretical model has been validated empirically using a survey of 310 firms and subsequent analysis have been carried out using structured equation modelling. The results highlight that perceived usefulness, perceived ease of use and compatibility positively affect impact of SMM after adoption by the SMEs. The facilitating conditions have insignificant impact whereas cost has a significant but negative impact on the use of SMM by SMEs. Since there are a few studies in this context, the study contributes to existing literature on the impact of SMM in SMEs in an emerging economy. © 2020 Elsevier Ltd",Digital marketing; Small and medium enterprises; Social media impact; Social media marketing; Technology impact,Commerce; Sales; Social networking (online); Digital marketing; Small and medium enterprise; Social media; Social media marketings; Technology impact; Economic and social effects,"Kumar Kar, A.; Department of Management Studies, Indian Institute of Technology DelhiIndia; email: arpan_kar@yahoo.co.in",,Elsevier Ltd,2684012,,IJMAE,,English,Int J Inf Manage,Article,Final,,Scopus,2-s2.0-85081129873,3
"Pradhan P., Nigam D., Tewari C.K.",57216706278;57215659518;57216706444;,An analysis of organizational demographics and measuring the results after adopting digital marketing by smes of uttar pradesh,2020,International Journal of Advanced Science and Technology,29,9 Special Issue,,753,763,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084372119&partnerID=40&md5=6fb0e8e958b7e5f8620b3bafe6218a97,"AKTU, Lucknow, India; Bundelkhand University, Jhansi, India; STEP-HBTI, Kanpur, India","Pradhan, P., AKTU, Lucknow, India; Nigam, D., Bundelkhand University, Jhansi, India; Tewari, C.K., STEP-HBTI, Kanpur, India","Both demand and competition have been changing and are giving pressure to organization to adopt innovative practices. Are innovative strategies worth to opt? There is a need to address the changes after the adoption of technology and innovation. Objective: The paper is focusing on digital marketing tools which are frequently adopted by SMEs. This paper will depict the influence of organizational demographics on adoption of digital marketing tools. The ultimate aim of this research is to analyze the difference between outcomes before and after adopting digital marketing tools by SMEs. Approach: The data has been collected through Google forms from 100 SMEs listed in IIA dictionary. Researcher is going to address SME’s demographics has relationship while adopting tools of digital marketing like social media, website site, email marketing etc. Although many studies have been conducted on the adoption of various forms of ICT, there are few on this topic in Asian countries; in particular, there is no research on Uttar Pradesh. Results: It has been concluded in the study that there is a significant change in SME’s average turnover and cost (expenses) after adopting digital marketing tools and several factors of organization demographics can influence adoption digital marketing. Generalizability of the results is one of the limitation of the study. Paper Type: Research Paper. © 2020 SERSC.",Digital; Kruskal-valis test etc; Marketing; Small Scale; Turnover; Wilcoxon test,,,,Science and Engineering Research Support Society,20054238,,,,English,Int. J. Adv. Sci. Technol.,Article,Final,,Scopus,2-s2.0-85084372119,2
"Fensel A., Akbar Z., Kärle E., Blank C., Pixner P., Gruber A.",36607956900;24831729700;56543254500;57216935172;57216934731;57216933840;,Knowledge graphs for online marketing and sales of touristic services,2020,Information (Switzerland),11,5,253,,,,1,10.3390/INFO11050253,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085360076&doi=10.3390%2fINFO11050253&partnerID=40&md5=b1f6644b890bb7ece9632f66f06438e9,"Semantic Technology Institute (STI) Innsbruck, Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria; Indonesian Institute of Sciences, Jakarta, 12710, Indonesia; Kognitiv Corporation, Vienna, 1070, Austria; M-Pulso GmbH, Innsbruck, 6020, Austria; Redlink GmbH, Salzburg, 5020, Austria","Fensel, A., Semantic Technology Institute (STI) Innsbruck, Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria; Akbar, Z., Semantic Technology Institute (STI) Innsbruck, Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria, Indonesian Institute of Sciences, Jakarta, 12710, Indonesia; Kärle, E., Semantic Technology Institute (STI) Innsbruck, Department of Computer Science, University of Innsbruck, Innsbruck, 6020, Austria; Blank, C., Kognitiv Corporation, Vienna, 1070, Austria; Pixner, P., M-Pulso GmbH, Innsbruck, 6020, Austria; Gruber, A., Redlink GmbH, Salzburg, 5020, Austria","Direct online marketing and sales are nowadays an essential part of almost any business that addresses an end consumer, such as in tourism. On the downside, the data and content required for such marketing and sales are typically distributed, and difficult to identify and use, especially for small and medium enterprises. Further, a combination of content management and semantics for automated online marketing and sales is becoming practically feasible now, especially with the global adoption of knowledge graphs. A design and feasibility pilot of a solution implementing semantic content and data value chain for online direct marketing and sales, basing on knowledge graphs, and efficiently addressing multiple channels and stakeholders, is provided and evaluated with the end-users. The implementation is shown to be suitable for the use on the Web, social media and mobile channels. The proof of concept addresses the tourism sector, exploring, in particular, the case of touristic service packaging, and is applicable globally. The typically encountered challenges, particularly, the ones related to data quality, are identified, and the ways to overcome them are discussed. The paper advances the knowledge of employment of knowledge graphs in online marketing and sales, and showcases its related innovative practical application, co-created by the industry providing marketing and sales solutions for Austria, one of the world's leading touristic regions. © 2020 by the authors.",Knowledge graphs; Mobile apps; Online marketing; Online sales; Semantic technology; Social media; Touristic service packaging,Electronic commerce; Graphic methods; Leisure industry; Semantics; Service industry; Tourism; Content management; Direct marketing; Knowledge graphs; Multiple channels; Online marketing; Proof of concept; Service packaging; Small and medium enterprise; Sales,"Fensel, A.; Semantic Technology Institute (STI) Innsbruck, Department of Computer Science, University of InnsbruckAustria; email: anna.fensel@uibk.ac.at",,MDPI AG,20782489,,,,English,Information,Article,Final,Open Access,Scopus,2-s2.0-85085360076,2
"Wibowo A., Santoso J.T., Wibowo M.C.",57216438764;57212315327;57212313984;,Adoption of technopreneurship and information technology in accelerating the growth of digital-based entrepreneurs,2020,Test Engineering and Management,83,,,18091,18095,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084387458&partnerID=40&md5=51b4cd0eaa1673d2e871be51d0c92c97,"STEKOM, Semarang, Indonesia","Wibowo, A., STEKOM, Semarang, Indonesia; Santoso, J.T., STEKOM, Semarang, Indonesia; Wibowo, M.C., STEKOM, Semarang, Indonesia","The role of SMEs in the national economy has received wide attention in terms of its ability to absorb labor, entrepreneurship, innovation and resilience in conditions of economic crisis. This paper aims to describe the role of SMEs in technology-based entrepreneurship development in Indonesia.The study found that the role of entrepreneurship education and technology entrepreneurial acceleration programs through collaboration between sectors can help SMEs adapt marketing and products through online. This study also shows that the purpose of MSMES is to be online to provide opportunities for a wider market share of MSMEs in Indonesia both domestically and abroad to be able to increase sales and income both at home and abroad. © 2020 Mattingley Publishing. All rights reserved.",Business growth; Digital marketing; Technology adoption; Technopreneurship,,,,Mattingley Publishing,1934120,,TENMA,,English,Test Eng Manage,Article,Final,,Scopus,2-s2.0-85084387458,2
"Nasution M.I., Prayogi M.A., Siregar L.H., Suryani Y., Hernawaty H.",57204822076;57202255870;57216618273;57216618408;57216616499;,Environment of Internet Marketing and Experiential Marketing in Indonesia Context: Small and Medium Enterprises (SMEs) Purchase Intentions,2020,IOP Conference Series: Earth and Environmental Science,469,1,12010,,,,,10.1088/1755-1315/469/1/012010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084046577&doi=10.1088%2f1755-1315%2f469%2f1%2f012010&partnerID=40&md5=f775ed86f6aa8468a906ed764bd52162,"University of Muhammadiyah Sumatera Utara, Medan, North Sumatra, Indonesia; University of Dharmawangsa, Medan, North Sumatra, Indonesia; University of Harapan, Medan, North Sumatra, Indonesia; University of Pembangunan Panca Budi, Medan, North Sumatra, Indonesia","Nasution, M.I., University of Muhammadiyah Sumatera Utara, Medan, North Sumatra, Indonesia; Prayogi, M.A., University of Muhammadiyah Sumatera Utara, Medan, North Sumatra, Indonesia; Siregar, L.H., University of Dharmawangsa, Medan, North Sumatra, Indonesia; Suryani, Y., University of Harapan, Medan, North Sumatra, Indonesia; Hernawaty, H., University of Pembangunan Panca Budi, Medan, North Sumatra, Indonesia","The strategies to employ Internet Marketing and Experiential Marketing by Small Medium Enterprises (SMEs) used to increase purchase intention. Therefore, this research aimed to analyse the partial and simultaneous influences between Internet Marketing and Experiential Marketing to purchase intentions. This research used a quantitative approach and took the samples by using a quota sample technique with 100 respondents from Small and Medium Enterprises on Fashion and Food sector in Medan City. The technique of analyzing the data used in this research was multiple linear regression. The result of this research was Internet Marketing, and Experiential Marketing had a positive and significant influence on purchase intention. Simultaneously, Internet marketing and Experiential Marketing had a positive and significant impact on purchase intention. The implication of this research was SMEs must transform from the conventional strategy into an online strategy. © Published under licence by IOP Publishing Ltd.",experiential marketing; Internet marketing; purchase intention,Linear regression; Purchasing; Sales; Food sector; Internet marketing; Multiple linear regressions; Online Strategy; Purchase intention; Quantitative approach; Small and medium enterprise; Small medium enterprise; Commerce,,,Institute of Physics Publishing,17551307,,,,English,IOP Conf. Ser. Earth Environ. Sci.,Conference Paper,Final,Open Access,Scopus,2-s2.0-85084046577,3
"Ahmad A.Hj., Idris I., Wong J.X., Malik I.S.A., Masri R., Alias S.S.",57209294047;57200176251;57216273526;57205272840;57204105326;57216274556;,Creating brand awareness through YouTube advertisement engagement,2020,Test Engineering and Management,83,,,7970,7976,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083001594&partnerID=40&md5=a2a35018883c428ab05829068a4a1832,"Department of Marketing, International Business Universiti Kuala Lumpur, Business School Kuala Lumpur, Malaysia; Department of Marketing, Sunway University Business School Selangor, Malaysia; Department of Management, Entrepreneurship Universiti Kuala Lumpur, Business School Kuala Lumpur, Malaysia; Department of Business, Law International University of Malaya, Wales Kuala Lumpur, Malaysia","Ahmad, A.Hj., Department of Marketing, International Business Universiti Kuala Lumpur, Business School Kuala Lumpur, Malaysia; Idris, I., Department of Marketing, Sunway University Business School Selangor, Malaysia; Wong, J.X., Department of Marketing, Sunway University Business School Selangor, Malaysia; Malik, I.S.A., Department of Management, Entrepreneurship Universiti Kuala Lumpur, Business School Kuala Lumpur, Malaysia; Masri, R., Department of Business, Law International University of Malaya, Wales Kuala Lumpur, Malaysia; Alias, S.S., Department of Marketing, Sunway University Business School Selangor, Malaysia","Online advertising such as Facebook, YouTube, Instagram, Twitter and others have become one of the profitable and user-friendly platform for advertisers. Thus, more and more advertisers adopted the idea of online advertising. However, it is difficult to engage the consumer or viewers from this platform. YouTube is one of the fastest growing online platform. Thus, this research focuses on the significance of using YouTube advertisement as the platform in generating and building brand awareness. 280 respondents were conveniently recruited for data collection and further data analyses. All questionnaires were successfully handed out to each respective respondent. As predicted, research has shown that the advertising engagement do significantly related in creating brand awareness in the YouTube platform. This research has contributed to the new understanding in helping advertisers, marketers, Small-Medium Enterprise (SME) and new start-ups companies in reaching more consumers by using the right strategies in YouTube advertising and reducing their advertising cost by knowing the right tools to use. © 2020 Mattingley Publishing. All rights reserved.",Brand awareness; Consumer engagement; Online marketing; YouTube advertisement,Data acquisition; Social networking (online); Surveys; Brand awareness; Consumer engagement; Online advertising; Online marketing; Online platforms; Small medium enterprise; User-friendly platforms; YouTube; Marketing,,,Mattingley Publishing,1934120,,TENMA,,English,Test Eng Manage,Article,Final,,Scopus,2-s2.0-85083001594,2
Kuntonbutr S.,57212555955;,The dynamic capabilities of digital transformation for improving product customization and innovation,2020,Test Engineering and Management,83,,,6569,6582,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083027896&partnerID=40&md5=35cec2c572c4a4b9f21369491dc6f322,"Rajamangala University of Technology, Thanyaburi, Pathumtani, Thailand","Kuntonbutr, S., Rajamangala University of Technology, Thanyaburi, Pathumtani, Thailand","Digital transformation has driven the dynamic growth of firms over the last two decades. Currently, it is now being implemented by many firms including small and medium sized enterprises. This quantitative study explores the effects of digital transformation with reference to digital marketing and innovation, which are said to enhance the performance of firms in the automotive parts industry. The 280 usable subjects from total number of 1,800 SMEs listed in Thai auto-parts manufacturers association were participated in this study. The questionnaires were developed from reviewing the literature and supported by experts' suggestion. There are two mediators in the research framework as customization and innovation, then, Structural Equation Model is a statistical used for testing the hypotheses. The results indicate digital transformation exerts a significant effect on both digital marketing and innovation. As well, the indirect effect of digital transformation on firms' performance is evident through digital marketing and innovation. These results support that auto-part firms should applied digital transformation appropriately with digital marketing and innovation. Those functions contribute to firm performance. © 2020 Mattingley Publishing. All rights reserved.",Digital transformation; Innovation; Product Customization,Commerce; Surveys; Telecommunication services; Automotive parts industries; Digital transformation; Dynamic capabilities; Product customization; Quantitative study; Research frameworks; Small and medium sized enterprise; Structural equation modeling; Marketing,"Kuntonbutr, S.; Rajamangala University of TechnologyThailand; email: sudaporn_k@rmutt.ac.th",,Mattingley Publishing,1934120,,TENMA,,English,Test Eng Manage,Article,Final,,Scopus,2-s2.0-85083027896,2
"Somjai S., Charoen-Rajapark N., Pocmontri A.",57209607663;57210814574;57216274380;,Approaches of digital marketing in SMEs,2020,Test Engineering and Management,83,,,6303,6313,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083002074&partnerID=40&md5=a21e2c8b97f38efc95723dda7a279ea0,"Graduate School, Suan Sunandha Rajabhat University, Bangkok, Thailand; Suan Sunandha Rajabhat University, Bangkok, Thailand","Somjai, S., Graduate School, Suan Sunandha Rajabhat University, Bangkok, Thailand; Charoen-Rajapark, N., Suan Sunandha Rajabhat University, Bangkok, Thailand; Pocmontri, A., Suan Sunandha Rajabhat University, Bangkok, Thailand","Purpose- Digital Marketing is getting ahead of all the traditional ways of marketing, it has become not only necessary for the larger companies but for SMEs as well to keep up with the trend and adopt Digital Marketing. Digital Marketing started off not many years back, hence it is still not very popular amongst the SMEs. However, due to the need of the market the SMEs should look into it. Companies in West are already looking into it and adopting it. Therefore, the SMEs in Asia and South-east Asia should not be left behind either and start adopting it at its earliest. SO the purpose of this study is to find out the relationship between Digital marketing and how does it affect the sales of the company. Design/Methodology/Approach- The data was collected from 400 employees working at different Digital Marketing firms in order to learn the difference how things worked prior and after adopting the Digital Marketing. The research was restricted to Malaysian context only hence; it can only be applied to the Malaysian context. The sample data was collected through questionnaires and also interviews were conducted from the higher level management in order to get better results out of the data and survey. The data from the survey was analyzed on SPSS and AMOS to get the analysis. Findings- The findings of this study suggest that with the adoption of digital marketing not only does the sale increase, but it also reduces the cost of marketing for the company. Therefore, it is determined that digital marketing is a cheaper and optimized way of doing marketing. Also, it creates more awareness amongst the people and a very faster rate as compared to traditional marketing ways. Furthermore, Digital marketing has proven to be very popular amongst the Malaysian too and also many companies are doing it such as Zalora, Lazada, Shoppee, Groupon. All these companies invest a huge amount of energy and money and they have ll their teams working on Search Engine Marketing, Search Engine Optimization and they have separate teams who are working on Social Media Marketing campaigns and it has turned out to be more popular and profitable ways of marketing their product to their customers. © 2020 Mattingley Publishing. All rights reserved.",Digital Marketing; Email Marketing; Search Engine Marketing; Search Engine Optimization; SMEs; Social Media Marketing,Commerce; Search engines; Social networking (online); Surveys; Digital marketing; Email marketing; Search engine marketings; Search engine optimizations; SMEs; Social media marketings; Marketing,,,Mattingley Publishing,1934120,,TENMA,,English,Test Eng Manage,Article,Final,,Scopus,2-s2.0-85083002074,3
"Carpio K.V.H., Arce S., Enjolras M., Camargo M.",57216229983;57217106222;56340830900;34871573700;,How institutions promote digital marketing in small and medium international companies: Comparison between Costa Rica and France,2020,Technology Innovation Management Review,10,4,,58,71,,,10.22215/TIMREVIEW/1347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086272040&doi=10.22215%2fTIMREVIEW%2f1347&partnerID=40&md5=4ced21245865e19a80c627629b73b0ee,,"Carpio, K.V.H.; Arce, S.; Enjolras, M.; Camargo, M.","The objective of this paper is to analyze institutional promotions to small and medium international enterprises on the subject of digital marketing. The authors conduct qualitative research with a descriptive scope, including 12 institutions in Costa Rica and France. The study is dedicated to working with SMEs involved in an internationalization process and offering them some type of training. for the collection of information, an in-depth interview with each participant was applied. It concludes that SMEs promote digital marketing through institutions, and that the way in which they carry it out varies between the two countries, Costa Rica being a more general and structured service, and France a more customized one. © 2020 Technology Innovation Management Review. All rights reserved.",Coaching; Digital marketing; Internationalization; SMEs; Support institutions; Training,,,,Carleton University,19270321,,,,English,Technolog. Innov. Manag. Rev.,Article,Final,Open Access,Scopus,2-s2.0-85086272040,3
